# Per-row disposition overrides: authored input to the P1 census generator.
#
# Three tab-separated fields: <row id> <disposition> <reason>.
#
# An override is for a row whose enclosing section's disposition does not
# describe it. It beats every line in dispositions.tsv. An override that no
# row matches fails generation, so an entry cannot outlive its row.

# The reference algorithm that realizes the piping requirements. Its enclosing
# section rs-all-abstract-ops is owned; SPEC-MANIFEST.md dispositions
# ReadableStreamPipeTo itself as requirement.
op.readable-stream-pipe-to	requirement	SPEC-MANIFEST.md dispositions ReadableStreamPipeTo as the reference algorithm realizing the piping requirements

# ECMAScript ArrayBuffer and ArrayBufferView internal slots. These are read
# and written by the byte-stream algorithms but are not streams state.
# SPEC-MANIFEST.md names ArrayBuffer detachment foreignBoundary, and the root
# AGENTS.md representation rules make host runtime objects a foreign boundary
# whose answers are typed decisions rather than modelled bodies.
slot.array-buffer	foreignBoundary	ECMAScript ArrayBuffer internal slot; ArrayBuffer detachment is foreignBoundary in SPEC-MANIFEST.md
slot.array-buffer-data	foreignBoundary	ECMAScript ArrayBuffer internal slot; ArrayBuffer detachment is foreignBoundary in SPEC-MANIFEST.md
slot.array-buffer-byte-length	foreignBoundary	ECMAScript ArrayBuffer internal slot; ArrayBuffer detachment is foreignBoundary in SPEC-MANIFEST.md
slot.array-buffer-detach-key	foreignBoundary	ECMAScript ArrayBuffer internal slot; ArrayBuffer detachment is foreignBoundary in SPEC-MANIFEST.md
slot.array-length	foreignBoundary	ECMAScript TypedArray internal slot on a host view object
slot.byte-length	foreignBoundary	ECMAScript ArrayBufferView internal slot on a host view object
slot.byte-offset	foreignBoundary	ECMAScript ArrayBufferView internal slot on a host view object
slot.typed-array-name	foreignBoundary	ECMAScript TypedArray internal slot on a host view object
slot.viewed-array-buffer	foreignBoundary	ECMAScript ArrayBufferView internal slot on a host view object

# ECMAScript promise internals. Since slice Q3 of docs/PROMISE-PACKAGE-PLAN.md
# these two slots are modelled in Lean, by Whatwg.Ecma262.Promise.State fused
# with its Cell and Table, and the Streams algorithms reach them through the
# views Writable.promiseTable and Readable.readTable. Ruling R-P5 says the
# Streams rows become references into that library when P8 opens; slice Q4 is
# that point. They stay in the denominator and stay absent until a witness is
# named in WhatwgTest/Audit/SpecCoverage.lean.
slot.promise-state	owned	modelled by Whatwg.Ecma262.Promise.State (slot.PromiseState 2744957..2745252 fused with slot.PromiseResult 2745263..2745619); reached from Streams through Writable.promiseTable and Readable.readTable (R-P5, slice Q4)
slot.promise-is-handled	owned	modelled by the handled field of Whatwg.Ecma262.Promise.Cell (slot.PromiseIsHandled 2746322..2746637); reached from Streams through Writable.promiseTable and Writable.handled_bridge (R-P5, slice Q4)

# The completion-record field stays foreignBoundary. It is not a promise slot:
# SPEC-MANIFEST.md records it as a field read off a host abrupt completion, the
# ES2026 census has no counterpart row for it (its result slot is
# [[PromiseResult]]), and gap G-10 of the extraction inventory records that no
# Completion carrier exists in Whatwg.Ecma262 at this pin. Re-dispositioning it
# would name an owner that does not exist.
slot.value	foreignBoundary	ECMAScript completion-record field read off a host abrupt completion; no Whatwg.Ecma262 counterpart at this pin (gap G-10)

# ReadableStream's [[Detached]] exists only for the transferable-streams
# protocol. Its enclosing section rs-internal-slots is owned, but the three
# *-transfer sub-sections that read and write this slot are refused, and
# SPEC-MANIFEST.md refuses the slot with them.
slot.detached	refused	transfer-only slot of the refused transferable-streams protocol; SPEC-MANIFEST.md refuses it with the three *-transfer sub-sections

# Two Web IDL type declarations that sit in the underlying-source-api IDL
# block without belonging to the UnderlyingSource dictionary or its
# callbacks. That section is foreignBoundary because the manifest names the
# dictionary and its members so; a union typedef and an enum are neither.
# SPEC-MANIFEST.md rules typedef, enum and includes statements hostOnly.
idl.readable-stream-controller	hostOnly	Web IDL union typedef naming the controller an underlying source is handed; an IDL type conversion, not a dictionary member with a foreign body
idl.readable-stream-type	hostOnly	Web IDL enum of the values the UnderlyingSource type member admits; enforced by the host IDL layer, not a foreign-boundary answer
