# Authored source dependencies. Identity checks do not discharge semantic proof edges.
# References through a named local owner are intentional; common Infra operations keep their owner.
# row-id	comma-separated-dependencies-or--
requirement.parser-serializer-api-idempotence	op.url-parser,op.url-serializer,op.url-equality,type.api-url-object-state,type.api-url-search-params-object-state
requirement.infra-dependency	ext.infra.standard
requirement.external-term-sources	ext.encoding.standard,ext.fileapi.standard,ext.html.standard,ext.uts46.standard,ext.webidl.standard
op.serialize-integer	ext.infra.string
type.validation-error	-
rule.validation-domain-to-ascii	op.domain-to-ascii
rule.validation-domain-percent-encoded	op.host-parser,op.percent-encoded-byte-syntax
rule.validation-host-invalid-code-point	op.opaque-host-parser,op.forbidden-host-code-point
rule.validation-ipv4-empty-part	op.ipv4-parser
rule.validation-ipv4-too-few-parts	op.ipv4-parser
rule.validation-ipv4-too-many-parts	op.ipv4-parser
rule.validation-ipv4-non-numeric-part	op.ipv4-parser,op.ipv4-number-parser
rule.validation-ipv4-non-decimal-part	op.ipv4-parser,op.ipv4-number-parser
rule.validation-ipv4-out-of-range-part	op.ipv4-parser
rule.validation-ipv4-non-ascii-input	op.host-parser,ext.infra.ascii
rule.validation-ipv6-unclosed	op.host-parser
rule.validation-ipv6-invalid-compression	op.ipv6-parser
rule.validation-ipv6-too-many-pieces	op.ipv6-parser
rule.validation-ipv6-multiple-compression	op.ipv6-parser
rule.validation-ipv6-invalid-code-point	op.ipv6-parser
rule.validation-ipv6-too-few-pieces	op.ipv6-parser
rule.validation-ipv6-piece-leading-zero	op.ipv6-parser
rule.validation-ipv4-in-ipv6-too-many-pieces	op.ipv6-parser
rule.validation-ipv4-in-ipv6-invalid-code-point	op.ipv6-parser
rule.validation-ipv4-in-ipv6-out-of-range-part	op.ipv6-parser
rule.validation-ipv4-in-ipv6-too-few-parts	op.ipv6-parser
rule.validation-invalid-url-unit	op.url-units,op.basic-url-parser,op.opaque-host-parser
rule.validation-special-scheme-missing-solidus	op.parser-scheme,op.parser-special-relative-or-authority,op.parser-special-authority-slashes,op.parser-special-authority-ignore-slashes
rule.validation-missing-scheme-non-relative-url	op.parser-no-scheme,type.base-url-role
rule.validation-invalid-reverse-solidus	op.basic-url-parser,op.url-is-special
rule.validation-invalid-credentials	op.parser-authority
rule.validation-host-missing	op.parser-authority,op.parser-host-and-hostname
rule.validation-port-out-of-range	op.parser-port,ext.infra.unsigned-integers
rule.validation-port-invalid	op.parser-port
rule.validation-file-invalid-drive-letter	op.parser-file,op.windows-drive-letter
rule.validation-file-invalid-drive-letter-host	op.parser-file-host,op.windows-drive-letter
type.eof-code-point	ext.infra.code-point
type.parser-pointer	ext.infra.string,ext.infra.code-point,ext.infra.string-operations,type.eof-code-point
op.parser-current-code-point	type.parser-pointer,type.eof-code-point,ext.infra.code-point
op.parser-remaining-input	type.parser-pointer,type.eof-code-point,op.parser-current-code-point,ext.infra.string-operations
op.percent-encoded-byte-syntax	ext.infra.ascii,ext.infra.string
requirement.percent-encoded-utf8-advice	op.percent-decode-string,op.host-parser,requirement.rendering-constrained-percent-decoding,ext.encoding.utf8-decode-without-bom-or-fail
op.percent-encode-byte	ext.infra.byte,ext.infra.ascii,ext.infra.string
op.percent-decode-bytes	ext.infra.byte-sequence,ext.infra.ascii,ext.infra.isomorphic-decode,ext.encoding.utf8-decode-without-bom
op.percent-decode-string	op.percent-decode-bytes,ext.infra.scalar-value-string,ext.encoding.utf8-encode
type.percent-encode-set	ext.infra.code-point
op.c0-control-percent-encode-set	type.percent-encode-set,ext.infra.ascii
op.fragment-percent-encode-set	type.percent-encode-set,op.c0-control-percent-encode-set
op.query-percent-encode-set	type.percent-encode-set,op.c0-control-percent-encode-set
rule.query-fragment-encode-set-difference	op.query-percent-encode-set,op.fragment-percent-encode-set
op.special-query-percent-encode-set	type.percent-encode-set,op.query-percent-encode-set
op.path-percent-encode-set	type.percent-encode-set,op.query-percent-encode-set
op.userinfo-percent-encode-set	type.percent-encode-set,op.path-percent-encode-set
op.component-percent-encode-set	type.percent-encode-set,op.userinfo-percent-encode-set
rule.component-encodeuricomponent-equivalence	op.component-percent-encode-set,op.utf8-percent-encode-string,ext.ecma262.encodeuricomponent
op.form-percent-encode-set	type.percent-encode-set,op.component-percent-encode-set
rule.form-encode-set-complement	op.form-percent-encode-set,ext.infra.ascii
op.percent-encode-after-encoding	type.percent-encode-set,op.special-query-percent-encode-set,op.form-percent-encode-set,op.percent-encode-byte,ext.infra.scalar-value-string,ext.infra.ascii,ext.encoding.encoding,ext.encoding.utf8,ext.encoding.get-encoder,ext.encoding.io-queue,ext.encoding.encode-or-fail
op.utf8-percent-encode-code-point	op.percent-encode-after-encoding,ext.infra.scalar-value,ext.infra.string,ext.encoding.utf8
op.utf8-percent-encode-string	op.percent-encode-after-encoding,ext.infra.scalar-value-string,ext.encoding.utf8
requirement.url-security-context	type.url-record,requirement.rendering-security-decision-scope
requirement.url-spoofing-consideration	type.url-record,type.host,ext.unicode.utr36-advice
requirement.url-untrusted-party-consideration	type.url-record
rule.host-operation-contracts	type.host,op.valid-host-string,op.host-parser,op.host-serializer,op.host-equality,type.validation-error,ext.infra.scalar-value-string,ext.infra.ascii-string
type.host	type.domain,type.ip-address,type.opaque-host,type.empty-host
type.domain	ext.infra.ascii-string
op.domain-labels	type.domain,ext.infra.strictly-split
type.ip-address	type.ipv4-address,type.ipv6-address-and-pieces
type.ipv4-address	ext.infra.unsigned-integers
type.ipv6-address-and-pieces	ext.infra.unsigned-integers,ext.infra.list
type.opaque-host	ext.infra.ascii-string
type.empty-host	ext.infra.string
op.forbidden-host-code-point	ext.infra.code-point
op.forbidden-domain-code-point	op.forbidden-host-code-point,ext.infra.ascii
op.host-public-suffix	type.host,type.domain,ext.infra.string-operations,ext.infra.ascii-string,ext.psl.public-suffix,ext.psl.rules-data
op.host-registrable-domain	type.host,type.domain,op.host-public-suffix,op.domain-labels,op.host-equality,ext.infra.string-operations,ext.infra.ascii-string,ext.psl.registrable-domain,ext.psl.rules-data
requirement.public-suffix-security-advice	op.host-public-suffix,op.host-registrable-domain,ext.html.origin,ext.html.same-site,ext.html.schemelessly-same-site
op.domain-to-ascii	op.domain-parser-to-ascii,op.forbidden-domain-code-point,type.validation-error,ext.infra.scalar-value-string,ext.infra.ascii-string,ext.infra.ascii
op.domain-parser-to-ascii	ext.infra.scalar-value-string,ext.uts46.unicode-to-ascii
op.domain-to-unicode	type.domain,type.validation-error,ext.uts46.unicode-to-unicode
op.valid-host-string	op.valid-domain-string,op.valid-ipv4-address-string,op.valid-ipv6-address-string
op.valid-domain	op.domain-to-ascii,op.ends-in-a-number,ext.infra.string
op.valid-domain-string	op.valid-domain
op.valid-ipv4-address-string	ext.infra.ascii
op.valid-ipv6-address-string	op.valid-ipv6-pieces-string,op.effective-ipv6-piece-length,op.valid-ipv6-pieces-and-ipv4-string
op.valid-ipv6-pieces-and-ipv4-string	op.valid-ipv6-pieces-string,op.valid-ipv4-address-string
op.valid-ipv6-pieces-string	op.valid-ipv6-piece-string
op.valid-ipv6-piece-string	ext.infra.ascii
op.effective-ipv6-piece-length	op.valid-ipv6-pieces-string,op.valid-ipv6-piece-string,op.valid-ipv6-pieces-and-ipv4-string
op.valid-opaque-host-string	op.url-units,op.forbidden-host-code-point,op.valid-ipv6-address-string
op.host-parser	type.host,type.validation-error,op.ipv6-parser,op.opaque-host-parser,op.percent-encoded-byte-syntax,op.percent-decode-string,op.domain-to-ascii,op.ends-in-a-number,op.ipv4-parser,ext.infra.scalar-value-string,ext.infra.ascii-string,ext.encoding.utf8-decode-without-bom,ext.encoding.utf8-decode-without-bom-or-fail
op.ends-in-a-number	ext.infra.ascii-string,ext.infra.strictly-split,ext.infra.list,ext.infra.ascii,op.ipv4-number-parser
op.ipv4-parser	type.ipv4-address,type.validation-error,op.ipv4-number-parser,ext.infra.ascii-string,ext.infra.strictly-split,ext.infra.list
op.ipv4-number-parser	ext.infra.ascii-string,ext.infra.tuple,ext.infra.ascii
op.ipv6-parser	type.ipv6-address-and-pieces,type.parser-pointer,type.eof-code-point,op.parser-current-code-point,op.parser-remaining-input,type.validation-error,ext.infra.scalar-value-string,ext.infra.ascii
op.opaque-host-parser	type.opaque-host,op.forbidden-host-code-point,op.url-code-points,type.validation-error,op.utf8-percent-encode-string,op.c0-control-percent-encode-set,ext.infra.scalar-value-string,ext.infra.ascii
op.host-serializer	type.host,type.ipv4-address,type.ipv6-address-and-pieces,type.domain,type.opaque-host,type.empty-host,op.ipv4-serializer,op.ipv6-serializer,ext.infra.ascii-string
op.ipv4-serializer	type.ipv4-address,op.serialize-integer,ext.infra.ascii-string
op.ipv6-serializer	type.ipv6-address-and-pieces,op.ipv6-compressed-piece-index,ext.infra.list,ext.infra.ascii-string,ext.rfc5952.recommendation
