# Authored U2 semantic spans; partial input, not a census or coverage report.
# id	byte-start	byte-end	origin-ordinals	parent
requirement.parser-serializer-api-idempotence	1944	2321	8	-
requirement.infra-dependency	2483	2548	11	-
requirement.external-term-sources	2548	2890	12,13	-
op.serialize-integer	2898	2993	15	-
type.validation-error	3022	14653	18	-
rule.validation-domain-to-ascii	4062	5053	22	type.validation-error
rule.validation-domain-percent-encoded	5164	5470	27	type.validation-error
rule.validation-host-invalid-code-point	5470	5777	30	type.validation-error
rule.validation-ipv4-empty-part	5777	5988	33	type.validation-error
rule.validation-ipv4-too-few-parts	5988	6200	36	type.validation-error
rule.validation-ipv4-too-many-parts	6200	6419	39	type.validation-error
rule.validation-ipv4-non-numeric-part	6419	6637	42	type.validation-error
rule.validation-ipv4-non-decimal-part	6637	6899	45	type.validation-error
rule.validation-ipv4-out-of-range-part	6899	7164	48	type.validation-error
rule.validation-ipv4-non-ascii-input	7164	7483	51	type.validation-error
rule.validation-ipv6-unclosed	7483	7720	54	type.validation-error
rule.validation-ipv6-invalid-compression	7720	7955	57	type.validation-error
rule.validation-ipv6-too-many-pieces	7955	8191	60	type.validation-error
rule.validation-ipv6-multiple-compression	8191	8435	63	type.validation-error
rule.validation-ipv6-invalid-code-point	8435	8812	66	type.validation-error
rule.validation-ipv6-too-few-pieces	8812	9048	70	type.validation-error
rule.validation-ipv6-piece-leading-zero	9048	9310	73	type.validation-error
rule.validation-ipv4-in-ipv6-too-many-pieces	9310	9623	76	type.validation-error
rule.validation-ipv4-in-ipv6-invalid-code-point	9623	10280	79	type.validation-error
rule.validation-ipv4-in-ipv6-out-of-range-part	10280	10573	87	type.validation-error
rule.validation-ipv4-in-ipv6-too-few-parts	10573	10870	90	type.validation-error
rule.validation-invalid-url-unit	11068	11443	93	type.validation-error
rule.validation-special-scheme-missing-solidus	11443	11893	99	type.validation-error
rule.validation-missing-scheme-non-relative-url	11893	12705	103	type.validation-error
rule.validation-invalid-reverse-solidus	12705	12974	107	type.validation-error
rule.validation-invalid-credentials	12974	13252	110	type.validation-error
rule.validation-host-missing	13252	13585	114	type.validation-error
rule.validation-port-out-of-range	13585	13784	119	type.validation-error
rule.validation-port-invalid	13784	13970	122	type.validation-error
rule.validation-file-invalid-drive-letter	13970	14394	125	type.validation-error
rule.validation-file-invalid-drive-letter-host	14394	14645	127	type.validation-error
type.eof-code-point	14685	14803	132	-
type.parser-pointer	14803	15172	134	-
op.parser-current-code-point	15172	15393	136	-
op.parser-remaining-input	15393	15727	138	-
op.percent-encoded-byte-syntax	16209	16325	143	-
requirement.percent-encoded-utf8-advice	16325	16862	144	-
op.percent-encode-byte	16862	17111	145	-
op.percent-decode-bytes	17113	18462	148	-
op.percent-decode-string	18464	18967	164	-
type.percent-encode-set	18975	19062	172	-
op.c0-control-percent-encode-set	19062	19252	174	-
op.fragment-percent-encode-set	19252	19458	176	-
op.query-percent-encode-set	19458	19661	178	-
rule.query-fragment-encode-set-difference	19661	19816	179	-
op.special-query-percent-encode-set	19816	19965	181	-
op.path-percent-encode-set	19965	20183	183	-
op.userinfo-percent-encode-set	20183	20454	185	-
op.component-percent-encode-set	20454	20666	187	-
rule.component-encodeuricomponent-equivalence	20666	21163	188	-
op.form-percent-encode-set	21163	21416	190	-
rule.form-encode-set-complement	21416	21624	191	-
op.percent-encode-after-encoding	21624	24696	192	-
op.utf8-percent-encode-code-point	24698	25071	218	-
op.utf8-percent-encode-string	25073	25393	221	-
requirement.url-security-context	27370	27531	227	-
requirement.url-spoofing-consideration	27531	27910	228	-
requirement.url-untrusted-party-consideration	27910	28343	229	-
rule.host-operation-contracts	28424	29245	231,232,233,234,235,236	-
type.host	31032	33095	241	-
type.domain	31735	31873	245	type.host
op.domain-labels	31873	32045	247	type.host
type.ip-address	32194	32283	250	type.host
type.ipv4-address	32283	32425	252	type.host
type.ipv6-address-and-pieces	32425	32773	254,255	type.host
type.opaque-host	32924	33037	258	type.host
type.empty-host	33037	33095	260	type.host
