# Escaping references of the Web IDL census: authored input (ruling R-P6).
#
# Two tab-separated fields: <row id> <comma-separated identities, or ->, in
# the format census/url/dependencies.tsv established. Exactly one line per
# census row; every identity must resolve to a row of this census, to a row of
# generated/infra-census.tsv (the first cross-census join in this repository),
# or to an identity declared in census/webidl/externals.tsv. A duplicate line,
# a self dependency, an unknown row and an undeclared identity each fail
# generation, and an entry in externals.tsv that no line here uses fails too.
#
# Each line was derived from the [=…=], [$…$], {{…}} and [[…]] references
# inside that row's own byte span in the pinned index.bs, with whitespace
# normalised inside an autolink (Bikeshed wraps them across lines) and the
# display-text form split on "|". Recording a dependency is not a proof edge:
# it says the row's text reaches that identity, nothing about its meaning.
#
# Two references found in scope are deliberately not recorded. The Bikeshed
# bibliography citations [[DOM]] and [[INDEXEDDB]] are not internal slots, the
# same distinction Gates/Census.lean draws for [[FETCH]] in the Streams
# source. And {{WritableStreamDefaultWriter/closed}}, in the note beside "mark
# a promise as handled", is a back-reference into Streams that survey section 5
# group G rules out of the record: recording it would invert the layering
# DB-11 fixes.
idl.dom-exception	-
idl.domexception-abort-err	-
idl.domexception-code	-
idl.domexception-constructor	-
idl.domexception-data-clone-err	-
idl.domexception-domstring-size-err	-
idl.domexception-hierarchy-request-err	-
idl.domexception-index-size-err	-
idl.domexception-inuse-attribute-err	-
idl.domexception-invalid-access-err	-
idl.domexception-invalid-character-err	-
idl.domexception-invalid-modification-err	-
idl.domexception-invalid-node-type-err	-
idl.domexception-invalid-state-err	-
idl.domexception-message	-
idl.domexception-name	-
idl.domexception-namespace-err	-
idl.domexception-network-err	-
idl.domexception-no-data-allowed-err	-
idl.domexception-no-modification-allowed-err	-
idl.domexception-not-found-err	-
idl.domexception-not-supported-err	-
idl.domexception-quota-exceeded-err	-
idl.domexception-security-err	-
idl.domexception-syntax-err	-
idl.domexception-timeout-err	-
idl.domexception-type-mismatch-err	-
idl.domexception-url-mismatch-err	-
idl.domexception-validation-err	-
idl.domexception-wrong-document-err	-
idl.quota-exceeded-error	-
idl.quota-exceeded-error-options	-
idl.quotaexceedederror-constructor	-
idl.quotaexceedederror-quota	-
idl.quotaexceedederror-requested	-
idl.quotaexceedederroroptions-quota	-
idl.quotaexceedederroroptions-requested	-
op.a-new-promise	ext.ecma262.newpromisecapability,ext.ecma262.promise-intrinsic,ext.ecma262.propagate-completion-shorthand,ext.ecma262.slot-intrinsics,ext.html.realm
