#url-source-assignments format=1 generator=Gates.UrlCensusInput input-sha256=a5aa827f544f9077912dc1553cfd9025b6afa4e996460074b5f67d83e0f3c805 candidates=1473
#ordinal	kind	byte-start	byte-end	span-sha256	label	section	owner	reason
#input spans-sha256=444f54d5563bb8f21d04866cfc4e9dcc4ef7e1ccb380afb6f414f1b6153c23e2
#input explanations-sha256=6cd87e7a3e9e246692fc36cc52f41ed5834a45d5f66b569442c30c0cf87b7466
#input dispositions-sha256=766a539e43db1909506a938bdcb156111535a8189c542e2529885f31b6224a90
#input overrides-sha256=c2ce025fde1d98c03c28f6818269e8ab21d5e13e43a4aa4ec8e3a3339182e81c
#input dependencies-sha256=2fb67b7f4e4cab820b69a8b5125929e75b882c9e061f5323eff40cff0d5350b8
#input externals-sha256=492ba571becb2eadd939d74ff28c6689bcc0d09b1e6e661025d7f4621955a6ad
1	heading	790	826	4921d625c6edbb21341b68710b96df134b4ec51d96edd1cd90b365184842ffaf	Goals	goals	-	structural heading
2	prose	828	919	d9684d73747cb1baedc3f0542364fca7738e422e0b9fa4fb859955ef93e2f008	The URL standard takes the following approach towards making URLs fully interoperable:	goals	-	Editorial goals and list structure explain the standard's interoperability and API scope. The concrete parser/serializer/API idempotence goal has its own requirement.parser-serializer-api-idempotence row inside this region.
3	list	919	2326	820a042e8fe8fad4193f85d8437555ca8f21ff3c3366b055b4099d85bbb37a6c	ul	goals	-	Editorial goals and list structure explain the standard's interoperability and API scope. The concrete parser/serializer/API idempotence goal has its own requirement.parser-serializer-api-idempotence row inside this region.
4	prose	929	1256	da0da83899fc773cb7f27c85805ac7b84880c1ed53247e2e47f80fcdfba0ce7b	Align RFC 3986 and RFC 3987 with contemporary implementations and obsolete the RFCs in the process. (E.g., spaces, other "illegal" code points, query encoding, equality, canonicalization, are all concepts not entirely shared, or defined.) URL parsing needs to become as solid as HTML parsing. [[RFC3986]] [[RFC3987]]	goals	-	Editorial goals and list structure explain the standard's interoperability and API scope. The concrete parser/serializer/API idempotence goal has its own requirement.parser-serializer-api-idempotence row inside this region.
5	prose	1260	1549	fce56652bc204dc5c26a3d293f1202c9694b43c1f0f6afcbf3edd9499f56ee42	Standardize on the term URL. URI and IRI are just confusing. In practice a single algorithm is used for both so keeping them distinct is not helping anyone. URL also easily wins the search result popularity contest.	goals	-	Editorial goals and list structure explain the standard's interoperability and API scope. The concrete parser/serializer/API idempotence goal has its own requirement.parser-serializer-api-idempotence row inside this region.
6	prose	1553	1666	2bbcfbbb954afc01df206cc41ac2297213459ac538b4bee52bab867c1a7cc004	Supplanting Origin of a URI [sic]. [[RFC6454]]	goals	-	Editorial goals and list structure explain the standard's interoperability and API scope. The concrete parser/serializer/API idempotence goal has its own requirement.parser-serializer-api-idempotence row inside this region.
7	prose	1670	1940	9dffd87da0fce92f1a0d5f87667236a039b52f18594501b33204cf2af5f813ec	Define URL's existing JavaScript API in full detail and add enhancements to make it easier to work with. Add a new URL object as well for URL manipulation without usage of HTML elements. (Useful for JavaScript worker environments.)	goals	-	Editorial goals and list structure explain the standard's interoperability and API scope. The concrete parser/serializer/API idempotence goal has its own requirement.parser-serializer-api-idempotence row inside this region.
8	prose	1944	2321	3438c7bac4a106119737dedf0aa1ef0b20e274a28c465939b39952c8f4677733	Ensure the combination of parser, serializer, and API guarantee idempotence. For example, a non-failure result of a parse-then-serialize operation will not change with any further parse-then-serialize operations applied to it. Similarly, manipulating a non-failure result through the API will not change from applying any number of serialize-then-parse operations to it.	goals	requirement.parser-serializer-api-idempotence	
9	prose	2328	2440	756343a9e7111a0b200d87d728f72ebb947cdd26eb82581283aa0a666b95d7b2	As the editors learn more about the subject matter the goals might increase in scope somewhat.	goals	-	Editorial statement that the goals may evolve; it defines no current algorithm or requirement beyond the pinned goals.
10	heading	2440	2481	3ac5eef59ae56486a418d4b6bc5f689ce4a89e9ba164783ba6a8d6884f559695	Infrastructure	infrastructure	-	structural heading
